Japanese Name,Proper Name,Designation,HIP,Bayer ID
,Adhil,HR 390,6411,ξ And
アルマク,Almach,HR 603,9640,γ And
アルフェラッツ,Alpheratz,HR 15,677,α And
,Buna,HD 16175,12191,
ミラク,Mirach,HR 337,5447,β And
,Nembus,HR 464,7607,51 And
,Sterrennacht,HAT-P-6,0,
,Titawin,HR 458,7513,υ And
,Veritate,HR 8930,116076,14 And
,Macondo,HD 93083,52521,
,Karaka,HD 137388,76351,
アルシャイン,Alshain,HR 7602,98036,β Aql
アルタイル,Altair,HR 7557,97649,α Aql
,Antinous,HD 191692,99473,θ Aql
,Chechia,HD 192699,99894,
,Libertas,HR 7595,97938,ξ Aql
,Okab,HR 7235,93747,ζ Aql
,Petra,WASP-80,0,
,Phoenicia,HD 192263,99711,V1703 Aql
,Tarazed,HR 7525,97278,γ Aql
,Tianfu,HR 7669,98823,tau Aql
,Albali,HR 7950,102618,ε Aqr
,Ancha,HR 8499,110003,θ Aqr
,Bosona,HD 206610,107251,
,Bunda,HR 8264,106786,ξ Aqr
,Lionrock,HD 212771,110813,
,Márohu,WASP-6,0,
,Sadachbia,HR 8518,110395,γ Aqr
サダルメリク,Sadalmelik,HR 8414,109074,α Aqr
,Sadalsuud,HR 8232,106278,β Aqr
,Situla,HR 8610,111710,κ Aqr
,Skat,HR 8709,113136,δ Aqr
,Wouri,WASP-69,,
,Zembra,HATS-72,,
,Cervantes,HR 6585,86796,μ Ara
,Inquill,HD 156411,84787,
,Bharani,HR 838,6193,41  Ari
,Botein,HR 951,14838,δ Ari
ハマル,Hamal,HR 617,9884,α Ari
,Lilii Borea,HR 824,13061,39 Ari
,Mesarthim,HR 546,8832,γ1 Ari
シェラタン,Sheratan,HR 553,8903,β Ari
,Almaaz,HR 1605,23416,ε Aur
カペラ,Capella,HR 1708,24608,α Aur
,Haedus,HR 1641,23767,η Aur
,Hassaleh,HR 1577,23015,ι Aur
,Lucilinburhuc,HD 45350,30860,
,Mahasim,HR 2095,28380,θ Aur
メンカリナン,Menkalinan,HR 2088,28360,β Aur
,Nervia,HD 49674,32916,
,Saclateni,HR 1612,23453,ζ Aur
,Tevel,HAT-P-9,0,
,Alkalurops,HR 5733,75411,μ Boo
,Arcalís,HD 131496,72845,_ Boo
アークトゥルス,Arcturus,HR 5340,69673,α Boo
イザール,Izar,HR 5506,72105,ε Boo
,Merga,HR 5533,72487,38 Boo
,Muphrid,HR 5235,67927,η Boo
,Nekkar,HR 5602,73555,β Boo
,Nikawiy,HD 136418,74961,
,Seginus,HR 5435,71075,γ Boo
,Xuange,HR 5351,69732,λ Boo
,Mago,HD 32518,24003,
,Tonatiuh,HR 4609,58952,
,Alshat,HR 7773,100310,ν Cap
,Dabih,HR 7776,100345,β1 Cap
,Deneb Algedi,HR 8322,107556,δ Cap
,Nashira,HR 8278,106985,γ Cap
,Aiolos,HD 95086,,
,Aspidiske,HR 3699,45556,ι Car
,Avior,HR 3307,41037,ε Car
カノープス,Canopus,HR 2326,30438,α Car
,Miaplacidus,HR 3685,45238,β Car
,Tapecue,HD 63765,38041,
,Achird,HR 219,3821,η Cas
カフ,Caph,HR 21,746,β Cas
,Castula,HR 265,4422,υ2 Cas
,Fulu,HR 153,2920,ζ Cas
,Nushagak,HD 17156,13192,
,Ruchbah,HR 403,6686,δ Cas
シェダル,Schedar,HR 168,3179,α Cas
,Segin,HR 0542,8886,ε Cas
ハダル,Hadar,HR 5267,68702,β Cen
,Leepwal,HD 121263,68002,ζ Cen
,Matza,HIP 65426,,
,Menkent,HR 5288,68933,θ Cen
,Nyamien,WASP-15,0,
プロキシマ・ケンタウリ,Proxima Centauri,GJ 551,70890,α Cen
リギル・ケンタウルス,Rigil Kentaurus,HR 5459,71683,α Cen
トリマン,Toliman,HR 5460,71681,α Cen
,Uklun,HD 102117,57291,
アルデラミン,Alderamin,HR 8162,105199,α Cep
アルフィルク,Alfirk,HR 8238,106032,β Cep
,Algedi,HR 7754,100064,α2 Cep
,Errai,HR 8974,116727,γ Cep
,Garnet Star,HR 8316,107259,µ Cep
,Kurhah,HR 8417,108917,ξ Cep
,Axólotl,HD 224693,118319,
バテン・カイトス,Baten Kaitos,HR 539,8645,ζ Cet
ディフダ,Diphda,HR 188,3419,β Cet
,Felixvarela,BD-17 63,2247,
,Kaffaljidhma,HR 804,12706,γ Cet
メンカル,Menkar,HR 911,14135,α Cet
ミラ,Mira,HR 681,10826,ο Cet
,Mpingo,WASP-71,0,
,Ceibo,HD 63454,37284,
,Adhara,HR 2618,33579,ε CMa
,Aludra,HR 2827,35904,η CMa
,Amadioha,HD 43197,29550,_ CMa
,Atakoraka,WASP-64,0,_ CMa
,Furud,HR 2282,30122,ζ CMa
ミルザム,Mirzam,HR 2294,30324,β Cma
,Muliphein,HR 2657,34045,γ CMa
,Nganurganity,HR 2646,33856,σ CMa
シリウス,Sirius,HR 2491,32349,α CMa
,Unurgunite,HR 2646,33856,σ CMa
,Wezen,HR 2693,34444,δ CMa
,Gomeisa,HR 2845,36188,β CMi
プロキオン,Procyon,HR 2943,37279,α CMi
アクベンス,Acubens,HR 3572,44066,α Cnc
,Asellus Australis,HR 3461,42911,δ Cnc
,Asellus Borealis,HR 3449,42806,γ Cnc
,Copernicus,HR 3522,43587,55 Cnc
,Gakyid,HD 73534,42446,
,Kaewkosin,GJ 3470,,
,Meleph,HR 3429,42556,ε Cnc
,Nahn,HR 3627,44946,ξ Cnc
,Piautos,HR 3268,40881,λ Cnc
,Tarf,HR 3249,40526,β Cnc
,Tegmine,HR 3208,40167,ζ Cnc
,Elkurud,HR 2177,29034,θ Col
,Kosjenka,WASP-63,,
ファクト,Phact,HR 1956,26634,α Col
,Wazn,HR 2040,27628,β Col
,Diadem,HR 4968,64241,α Com
,Phyllon Kissinou,23 Com,61394,
,Meridiana,HR 7254,94114,α CrA
アルフェッカ,Alphecca,HR 5793,76267,α CrB
,Kamuy,HD 145457,79219,
,Moldoveanu,XO-1,0,
ヌサカン,Nusakan,HR 5747,75695,β CrB
アルケス,Alkes,HR 4287,53740,α Crt
,Amansinaya,WASP-34,0,_ Crt
,Hunahpú,HD 98219,55174,
アクルクス,Acrux,HR 4730,60718,α Cru
ガクルックス,Gacrux,HR 4763,61084,γ Cru
ギナン,Ginan,HR 4700,60260,ε Cru
イマイ,Imai,HR 4656,59747,δ Cru
ミモザ,Mimosa,HR 4853,62434,β Cru
,Tupã,HD 108147,60644,
,Alchiba,HR 4623,59199,α Crv
,Algorab,HR 4757,60965,δ Crv
ギェナー,Gienah,HR 4662,59803,γ Crv
クラズ,Kraz,HR 4786,61359,β Crv
,Chara,HR 4785,61317,β CVn
コル・カロリ,Cor Caroli,HR 4915,63125,α2 CVn
,Komondor,HAT-P-12,,
,La Superba,HR 4846,62223,Y CVn
,Tuiren,HAT-P-36,0,
アルビレオ,Albireo,HR 7417,95947,α Cyg
,Aljanah,HR 7949,102488,ε Cyg
,Azelfafage,HR 8301,107136,π1 Cyg
デネブ,Deneb,HR 7924,102098,α Cyg
,Fawaris,HR 7528,97165,δ Cyg
サドル,Sadr,HR 7796,100453,γ Cyg
,Aldulfin,HR 7852,101421,ε Del
,Moriah,HAT-P-23,0,
,Musica,HR 8030,103527,18 Del
,Rotanev,HR 7882,101769,β Del
スアロキン,Sualocin,HR 7906,101958,α Del
,Naledi,WASP-62,0,
,Aldhibah,HR 6396,83895,ζ Dra
,Alrakis,HR 6370,83608,μ Dra
,Alruba,HR 6618,86782,- Dra
,Alsafi,HR 7462,96100,σ Dra
アルタイス,Altais,HR 7310,94376,δ Dra
,Athebyne,HR 6132,80331,η Dra
,Dziban,HR 6636,86614,ψ1 Dra
,Edasich,HR 5744,75458,ι Dra
エルニタン,Eltanin,HR 6705,87833,γ Dra
,Fafnir,HR 6945,90344,42 Dra
,Funi,HD 109246,61177,
,Giausar,HR 4434,56211,λ Dra
,Grumium,HR 6688,87585,ξ Dra
,Rastaban,HR 6536,85670,β Dra
,Taiyi,HR 4916,63076,8 Dra
トゥバン,Thuban,HR 5291,68756,α Dra
,Tianyi,HR 4863,62423,7 Dra
,Kitalpha,HR 8131,104987,α Equ
,Acamar,HR 897,13847,θ1 Eri
アケルナル,Achernar,HR 472,7588,α Eri
,Angetenar,HR 850,13288,τ2 Eri
,Ayeyarwady,HD 18742,13993,
,Azha,HR 874,13701,η Eri
,Beemim,HR 1393,20535,υ3 Eri
,Beid,HR 1298,19587,ο1 Eri
,Chaophraya,WASP-50,0,
,Cursa,HR 1666,23875,β Eri
,Keid,HR 1325,19849,ο2 Eri
,Koeia,HIP 12961,12961,
,Montuno,WASP-79,0,
,Mouhoun,HD 30856,22491,
,Ran,HR 1084,16537,ε Eri
,Rana,HR 1136,17378,δ Eri
,Sceptrum,HR 1481,21594,53 Eri
,Theemin,HR 1464,21393,υ2 Eri
,Tojil,WASP-22,0,
,Zaurak,HR 1231,18543,γ Eri
,Zibal,HR 984,15197,ζ Eri
,Dalim,HR 963,14879,α For
,Diya,WASP-72,0,
,Intan,HD 20868,15578,
,Alhena,HR 2421,31681,γ Gem
,Alzirr,HR 2484,32362,ξ Gem
カストル,Castor,HR 2891,36850,α Gem
,Geminga,PSR B0633+17,0,
,Jishui,HR 2930,37265,ο Gem
,Mebsuta,HR 2473,32246,ε Gem
,Mekbuda,HR 2650,34088,ζ Gem
ポルックス,Pollux,HR 2990,37826,β Gem
,Propus,HR 2216,29655,η Gem
,Tejat,HR 2286,30343,μ Gem
,Wasat,HR 2777,35550,δ Gem
,Aldhanab,HR 8353,108085,γ Gru
アルナイル,Alnair,HR 8425,109268,α Gru
,Itonda,HD 208487,108375,
,Tiaki,HR 8636,112122,β Gru
,Cujam,HR 6117,80463,ω Her
,Franz,HAT-P-14,0,
,Hunor,HAT-P-2,0,
,Irena,WASP-38,0,
,Kornephoros,HR 6148,80816,β Her
,Maasym,HR 6526,85693,λ Her
,Marsic,HR 6008,79043,κ Her
,Ogma,HD 149026,80838,
,Pipoltr,TrES-3,0,V1434 Her
,Rasalgethi,HR 6406,84345,α1 Her
,Sarin,HR 6410,84379,δ Her
アルファルド,Alphard,HR 3748,46390,α Hya
,Ashlesha,HR 3482,43109,ε Hya
,Felis,HR 3923,48615,
,Filetdor,WASP-166,,
,Lerna,HAT-P-42,0,
,Minchir,HR 3418,42402,σ Hya
,Solitaire,HR 5526,72571,E Hya
,Ukdah,HR 3845,47431,ι Hya
,Zhang,HR 3903,48356,υ1 Hya
,Batsũ̀,LHS 3844,,
,Stellio,HR 8585,111169,α Lac
,Taika,HAT-P-40,0,
,Tengshe,HR 8726,113288,
,Adhafera,HR 4031,50335,ζ Leo
,Algieba,HR 4057,50583,γ1 Leo
,Alterf,HR 3773,46750,λ Leo
,Chertan,HR 4359,54879,θ Leo
デネボラ,Denebola,HR 4534,57632,β Leo
,Dingolay,HD 96063,54158,
,Formosa,HD 100655,56508,
,Noquisi,GJ 436,,
,Rasalas,HR 3905,48455,μ Leo
レグルス,Regulus,HR 3982,49669,α Leo
,Sagarmatha,HD 100777,56572,
,Shama,HD 99109,55664,
,Shaomin,HD 91316,51624,ρ Leo
,Subra,HR 3852,47508,ο Leo
,Yunü (Yunu),HD 87837,49637,31 Leo
,Zosma,HR 4357,54872,δ Leo
アルネブ,Arneb,HR 1865,25985,α Lep
,Nihal,HR 1829,25606,β Lep
,Brachium,HR 5603,73714,σ Lib
,Zubenelgenubi,HR 5531,72622,α2 Lib
,Zubenelhakrabi,HR 5787,76333,γ Lib
,Zubeneschamali,HR 5685,74785,β Lib
,Illyrian,HD 82886,47087,
,Praecipua,HR 4247,53229,46 LMi
,Uridim,HR 5469,71860,α Lup
,Absolutno,XO-5,0,Lyn
,Alsciaukat,HR 3275,41075,31 Lyn
,Gloas,WASP-13,0,
,Koit,XO-4,0,
,Stribor,HD 75898,43674,
,Aladfar,HR 7298,94481,η Lyr
,Chasoň,HAT-P-5,0,
,Sheliak,HR 7106,92420,β Lyr
,Sulafat,HR 7178,93194,γ Lyr
ベガ,Vega,HR 7001,91262,α Lyr
,Xihe,HD 173416,91852,
,Bubup,HD 38283,26380,
,Citalá,HD 52265,33719,
,Lusitânia,HD 45652,30905,
,Polaris Australis,HR 7228,104382,σ Oct
,Bake-eo (or Bake Eo),HR 6629,87108,γ Oph
バーナード星,Barnard's Star,GJ 699,87937,V2500 Oph
,Cebalrai,HR 6603,86742,β Oph
,Guniibuu,HR 6402,84405,36 Oph
,Mahsati,HD 152581,82651,
マルフィク,Marfik,HR 6149,80883,λ Oph
,Orkaria,GJ 1214,,
ラスアルハゲ,Rasalhague,HR 6556,86032,α Oph
,Rosaliadecastro,HD 149143,81022,
,Sabik,HR 6378,84012,η Oph
,Timir,HD 148427,80687,
,Yed Posterior,HR 6075,79882,ε Oph
,Yed Prior,HR 6056,79593,δ Oph
アルニラム,Alnilam,HR 1903,26311,ε Ori
アルニタク,Alnitak,HR 1948,26727,ζ Ori
ベラトリックス,Bellatrix,HR 1790,25336,γ Ori
ベテルギウス,Betelgeuse,HR 2061,27989,α Ori
ハチサ,Hatysa,HR 1899,26241,ι Ori
メイサ,Meissa,HR 1879,26207,λ Ori
ミンタカ,Mintaka,HR 1852,25930,δ Ori
リゲル,Rigel,HR 1713,24436,β Ori
サイフ,Saiph,HR 2004,27366,κ Ori
タビト,Tabit,HR 1543,22449,π3 Ori
ピーコック,Peacock,HR 7790,100751,α Pav
,Algenib,HR 39,1067,γ Peg
,Alkarab,HR 8905,115623,υ Peg
,Anadolu,WASP-52,0,_ Peg
,Biham,HR 8450,109427,θ Peg
,Enif,HR 8308,107315,ε Peg
,Helvetios,HR 8729,113357,51 Peg
,Homam,HR 8634,112029,ζ Peg
マルカブ,Markab,HR 8781,113963,α Peg
,Matar,HR 8650,112158,η Peg
,Morava,WASP-60,0,
,Sadalbari,HR 8684,112748,μ Peg
,Salm,HR 8880,115250,τ Peg
シェアト,Scheat,HR 8775,113881,β Peg
,Solaris,BD+14-4559,0,
,Tangra,WASP-21,0,
アルゴル,Algol,HR 936,14576,β Per
,Atik,HR 1131,17448,ο Per
,Berehynia,HAT-P-15,0,
,Menkib,HR 1228,18614,ξ Per
,Miram,HR 834,13268,η Per
ミルファク,Mirfak,HR 1017,15863,α Per
,Misam,HR 941,14668,κ Per
,Muspelheim,HAT-P-29,0,
,Ankaa,HR 99,2081,α  Phe
,Nenque,HD 6434,5054,
,Wurren,HR 338,5348,ζ Phe
フォーマルハウト,Fomalhaut,HR 8728,113368,α PsA
,Sāmaya,HD 205739,106824,
,Alpherg,HR 437,7097,η Psc
,Alrescha,HR 596,9487,α Psc
,Bélénos,HD 8574,6643,
,Citadelle,HD 1502,1547,
,Ebla,HAT-P-3,114322,
,Fumalsamakah,HR 8773,113889,β Psc
,Parumleo,WASP-32,0,
,Revati,HR 361,5737,ζ Psc
,Torcular,HR 510,8198,ο Psc
,Azmidi,HR 3045,38170,ξ Pup
,Dilmun,WASP-121,,
,Naos,HR 3165,39429,ζ Pup
,Nosaxa,HD 48265,31895,
,Pipit,HR 2451,31685,ν Pup
,Tislit,WASP-161,0,
,Tureis,HR 3185,39757,ρ Pup
,Rhombus,HR 1336,19780,α Ret
,Tupi,HD 23079,17096,
,Cocibolca,HD 4208,3479,
,Uúba,LTT 9779,,
アクラブ,Acrab,HR 5984,78820,β1 Sco
,Alniyat,HR 6084,80112,σ Sco
アンタレス,Antares,HR 6134,80763,α Sco
ジュバ,Dschubba,HR 5953,78401,δ Sco
,Dìwö,WASP-17,0,
,Fang,HR 5944,78265,π Sco
,Fuyue,HR 6630,87261,G Sco
,Iklil,HR 5928,78104,ρ Sco
,Jabbah,HR 6027,79374,ν Sco
,Larawag,HR 6241,82396,ε Sco
,Lesath,HR 6508,85696,υ Sco
,Paikauhale,HR 6165,81266,τ Sco
,Pipirima,HR 6252,82545,μ2 Sco
,Rapeto,HD 153950,83547,
,Sargas,HR 6553,86228,θ Sco
,Sharjah,HIP 79431,79431,
シャウラ,Shaula,HR 6527,85927,λ Sco
,Xamidimura,HR 6247,82514,μ1 Sco
,Alasia,HD 168746,90004,_ Ser
,Alya,HR 7141,92946,θ1 Ser
,Gudja,HR 5879,77450,κ Ser
,Kaveh,HD 175541,92895,
,Unukalhai,HR 5854,77070,α Ser
,Bibhā,HD 86081,48711,
,Gnomon,WASP-43,,
,Sansuna,HAT-P-34,0,
,Sham,HR 7479,96757,α Sge
,Uruk,HD 231701,96078,
,Ainalrami,HR 7116,92761,ν1 Sgr
,Albaldah,HR 7264,94141,π Sgr
,Alnasl,HR 6746,88635,γ2 Sgr
,Arkab Posterior,HR 7343,95294,β2 Sgr
,Arkab Prior,HR 7337,95241,β1 Sgr
,Ascella,HR 7194,93506,ζ Sgr
,Belel,HD 181342,95124,
,Gumala,HD 179949,94645,V5652 Sgr
,Kaus Australis,HR 6879,90185,ε Sgr
,Kaus Borealis,HR 6913,90496,λ Sgr
,Kaus Media,HR 6859,89931,δ Sgr
,Nunki,HR 7121,92855,σ Sgr
,Pincoya,HD 164604,88414,
,Polis,HR 6812,89341,μ Sgr
,Rukbat,HR 7348,95347,α Sgr
,Sika,HD 181720,95262,
,Terebellum,HR 7597,98066,ω Sgr
,Ain,HR 1409,20889,ε Tau
,Alcyone,HR 1165,17702,η Tau
アルデバラン,Aldebaran,HR 1457,21421,α Tau
,Asterope,HR 1151,17579,21 Tau
,Atlas,HR 1178,17847,27 Tau
,Celaeno,HR 1140,17489,16 Tau
,Chamukuy,HR 1412,20894,θ2 Tau
,Electra,HR 1142,17499,17 Tau
,Elnath,HR 1791,25428,β Tau
,Hoggar,HD 28678,21109,
,Maia,HR 1149,17573,20 Tau
,Merope,HR 1156,17608,23 Tau
,Pleione,HR 1180,17851,28 Tau
,Prima Hyadum,HR 1346,20205,γ Tau
,Secunda Hyadum,HR 1373,20455,δ1 Tau
,Taygeta,HR 1145,17531,19 Tau
,Tianguan,HR 1910,26451,ζ Tau
,Atria,HR 6217,82273,α TrA
,Horna,HAT-P-38,0,
,Mothallah,HR 544,8796,α Tri
,Danfeng,L 168-9,,
,Emiw,HD 7199,5529,
,Lang-Exster,HR 8502,110130,α Tuc
,Poerava,HD 221287,116084,
アルコル,Alcor,HR 5062,65477,80 UMa
アリオト,Alioth,HR 4905,62956,ε UMa
アルカイド,Alkaid,HR 5191,67301,η UMa
,Alkaphrah,HR 3594,44471,κ UMa
,Alula Australis,HR 4375,55203,ξ UMa
,Alula Borealis,HR 4377,55219,ν UMa
,Aniara,HD 102956,57820,_ UMa
,Chalawan,HR 4277,53721,47 UMa
,Dofida,HD 117618,66047,
,Dombay,HAT-P-3,0,
ドゥベー,Dubhe,HR 4301,54061,α UMa
,Intercrus,HR 3743,46471,
,Liesma,HD 118203,66192,
,Mazalaai,HAT-P-21,0,
メグレズ,Megrez,HR 4660,59774,δ UMa
メラク,Merak,HR 4295,53910,β UMa
ミザール,Mizar,HR 5054,65378,ζ UMa
,Muscida,HR 3323,41704,ο UMa
,Násti,HD 68988,40687,
フェクダ,Phecda,HR 4554,58001,γ UMa
,Taiyangshou,HR 4518,57399,χ UMa
,Talitha,HR 3569,44127,ι UMa
,Tania Australis,HR 4069,50801,μ UMa
,Tania Borealis,HR 4033,50372,λ UMa
,Baekdu,HD 133086,73136,8 UMi
コカブ,Kochab,HR 5563,72607,β UMi
フェルカド,Pherkad,HR 5735,75097,γ UMi
ポラリス,Polaris,HR 424,11767,α UMi
,Yildun,HR 6789,85822,δ UMi
,Alsephina,HR 3485,42913,δ Vel
,Añañuca,GJ 367,,
,Kalausi,HD 83443,47202,
,Markeb,HR 3734,45941,κ Vel
,Natasha,HD 85390,48235,
,Suhail,HR 3634,44816,λ Vel
,Wattle,WASP-19,,
,Elgafar,HR 5409,70755,ϕ Vir
,Flegetonte,HD 102195,57370,
,Gar,GJ 486,,
,Guahayona,HAT-P-26,,
,Heze,HR 5107,66249,ζ Vir
,Kang,HR 5315,69427,κ Vir
,Khambalia,HR 5359,69974,λ Vir
,Lich,PSR B1257+12,0,
,Malmok,WASP-39,0,V732 Vir
,Minelauva,HR 4910,63090,δ Vir
,Mönch,HD 130322,72339,
,Porrima,HR 4825,61941,γ Vir
,Syrma,HR 5338,69701,ι Vir
,Vindemiatrix,HR 4932,63608,ε Vir
,Zaniah,HR 4689,60129,η Vir
,Zavijava,HR 4540,57757,β Vir
,Maru,WD 0806-661,,
,Anser,HR 7405,,α Vul
スピカ,Spica,HR 5056,65474,α Vir
